Timestamp,Severity,Prefix,AS Path,Peer ASN,Reasons,Critical Prefix,UK Telecom
2025-04-01T17:27:56.710000,MEDIUM,193.41.43.0/24,"3170,3356,8220,15608,15608,15608,15608",3170,Excessive AS path prepending detected;Potential route leak: non-tier1 AS3170 announces to tier1 AS3356,No,No
2025-04-01T17:27:56.710000,MEDIUM,193.41.43.0/24,"3170,3356,8220,15608,15608,15608,15608",3170,Excessive AS path prepending detected;Potential route leak: non-tier1 AS3170 announces to tier1 AS3356,No,No
2025-04-01T17:27:57.710000,MEDIUM,193.41.43.0/24,"3170,3356,8220,15608,15608,15608,15608",3170,Excessive AS path prepending detected;Potential route leak: non-tier1 AS3170 announces to tier1 AS3356,No,No
2025-04-01T17:27:56.690000,LOW,193.41.43.0/24,"8218,8220,15608,15608,15608,15608",8218,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.690000,LOW,193.41.43.0/24,"8218,8220,15608,15608,15608,15608",8218,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.690000,LOW,193.41.43.0/24,"8218,8220,15608,15608,15608,15608",8218,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.690000,LOW,193.41.43.0/24,"8218,8220,15608,15608,15608,15608,15608,15608",8218,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.750000,LOW,193.41.43.0/24,"1828,8220,15608,15608,15608,15608,15608,15608",1828,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.750000,LOW,193.41.43.0/24,"1828,8220,15608,15608,15608,15608,15608,15608",1828,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.720000,LOW,193.41.43.0/24,"13030,8220,15608,15608,15608,15608",13030,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.720000,LOW,193.41.43.0/24,"13030,8220,15608,15608,15608,15608,15608,15608",13030,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.770000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.770000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:27:56.770000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:27:57.770000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:27:57.770000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:27:57.770000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:27:57.730000,LOW,193.41.43.0/24,"24482,8220,15608,15608,15608,15608,15608,15608",24482,Excessive AS path prepending detected,No,No
2025-04-01T17:28:00.700000,MEDIUM,193.33.182.0/23,"3320,3356,8220",3320,Potential route leak: non-tier1 AS3320 announces to tier1 AS3356,No,No
2025-04-01T17:28:04.760000,LOW,193.41.43.0/24,"1828,8220,15608,15608,15608,15608",1828,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.760000,LOW,193.41.43.0/24,"1828,8220,15608,15608,15608,15608",1828,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.700000,LOW,193.41.43.0/24,"8218,8220,15608,15608,15608,15608",8218,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.700000,LOW,193.41.43.0/24,"8218,8220,15608,15608,15608,15608",8218,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.700000,LOW,193.41.43.0/24,"8218,8220,15608,15608,15608,15608",8218,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.780000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.780000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.750000,LOW,193.41.43.0/24,"6908,8220,15608,15608,15608,15608",6908,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.750000,LOW,193.41.43.0/24,"6908,8220,15608,15608,15608,15608",6908,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.780000,LOW,193.41.43.0/24,"6424,8220,15608,15608,15608,15608",6424,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.730000,LOW,193.41.43.0/24,"13030,8220,15608,15608,15608,15608",13030,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.740000,LOW,193.41.43.0/24,"24482,8220,15608,15608,15608,15608",24482,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.750000,LOW,193.41.43.0/24,"24482,8220,15608,15608,15608,15608",24482,Excessive AS path prepending detected,No,No
2025-04-01T17:28:04.720000,MEDIUM,193.41.43.0/24,"3170,3356,8220,15608,15608,15608,15608",3170,Excessive AS path prepending detected;Potential route leak: non-tier1 AS3170 announces to tier1 AS3356,No,No
2025-04-01T17:28:05.720000,LOW,193.41.43.0/24,"25160,8220,15608,15608,15608,15608",25160,Excessive AS path prepending detected,No,No
2025-04-01T17:28:23.760000,LOW,193.41.43.0/24,"1299,8220,15608,15608,15608,15608",1299,Excessive AS path prepending detected,No,No
2025-04-01T17:28:24.820000,MEDIUM,193.41.43.0/24,"34927,1299,8220,15608,15608,15608,15608",34927,Excessive AS path prepending detected;Potential route leak: non-tier1 AS34927 announces to tier1 AS1299,No,No
2025-04-01T17:28:33.780000,LOW,193.41.43.0/24,"1828,8220,15608,15608,15608,15608",1828,Excessive AS path prepending detected,No,No
2025-04-01T17:28:33.780000,LOW,193.41.43.0/24,"8220,15608,15608,15608,15608",8220,Excessive AS path prepending detected,No,No
2025-04-01T17:28:33.800000,LOW,193.41.43.0/24,"207841,137409,8220,15608,15608,15608,15608",207841,Excessive AS path prepending detected,No,No
2025-04-01T17:28:33.770000,LOW,193.41.43.0/24,"6908,8220,15608,15608,15608,15608",6908,Excessive AS path prepending detected,No,No
2025-04-01T17:28:33.740000,LOW,193.41.43.0/24,"3170,8220,15608,15608,15608,15608",3170,Excessive AS path prepending detected,No,No
2025-04-01T17:28:33.760000,LOW,193.41.43.0/24,"917,60068,33891,8220,15608,15608,15608,15608",917,Excessive AS path prepending detected,No,No
2025-04-01T17:28:33.770000,LOW,193.41.43.0/24,"1299,8220,15608,15608,15608,15608",1299,Excessive AS path prepending detected,No,No
2025-04-01T17:28:33.770000,LOW,193.41.43.0/24,"24482,8220,15608,15608,15608,15608",24482,Excessive AS path prepending detected,No,No
2025-04-01T17:28:45.780000,MEDIUM,193.41.43.0/24,"8896,1299,8220,15608,15608,15608,15608",8896,Excessive AS path prepending detected;Potential route leak: non-tier1 AS8896 announces to tier1 AS1299,No,No
2025-04-01T17:28:48.790000,MEDIUM,193.41.43.0/24,"12969,1299,8220,15608,15608,15608,15608",12969,Excessive AS path prepending detected;Potential route leak: non-tier1 AS12969 announces to tier1 AS1299,No,No
2025-04-01T17:28:51.820000,LOW,193.41.43.0/24,"3257,3356,8220,15608,15608,15608,15608",3257,Excessive AS path prepending detected,No,No
2025-04-01T17:28:52.790000,LOW,193.41.43.0/24,"6908,8220,15608,15608,15608,15608",6908,Excessive AS path prepending detected,No,No
2025-04-01T17:28:52.790000,LOW,193.41.43.0/24,"6908,8220,15608,15608,15608,15608",6908,Excessive AS path prepending detected,No,No
2025-04-01T17:28:52.830000,LOW,193.41.43.0/24,"6424,8220,15608,15608,15608,15608",6424,Excessive AS path prepending detected,No,No
2025-04-01T17:28:52.770000,LOW,193.41.43.0/24,"13030,8220,15608,15608,15608,15608",13030,Excessive AS path prepending detected,No,No
2025-04-01T17:28:52.780000,LOW,193.41.43.0/24,"13030,8220,15608,15608,15608,15608",13030,Excessive AS path prepending detected,No,No
2025-04-01T17:28:53.780000,LOW,193.41.43.0/24,"13030,8220,15608,15608,15608,15608",13030,Excessive AS path prepending detected,No,No
